"InChI=1S/C12H13N/c1-8(2)10-4-5-12-11(7-10)6-9(3)13-12/h4-7,13H,1H2,2-3H3",4.5,0.365079
"InChI=1S/C12H13N/c1-2-3-7-11-9-10-6-4-5-8-12(10)13-11/h3-9,13H,2H2,1H3/b7-3+",4.5,0.451613
"InChI=1S/C11H8N2O/c1-13-9-5-3-2-4-8(9)6-10(13)11(14)7-12/h2-6H,1H3",4.5,0.467742
"InChI=1S/C8H7NO/c10-9-6-5-7-3-1-2-4-8(7)9/h1-6,10H",4.5,0.52
"InChI=1S/C12H13N/c1-2-3-9-13-10-8-11-6-4-5-7-12(11)13/h2-8,10H,9H2,1H3/b3-2+",4.5,0.421875
"InChI=1S/C12H13N/c1-3-9(2)12-8-10-6-4-5-7-11(10)13-12/h3-8,13H,1-2H3/b9-3-",4.5,0.474576
"InChI=1S/C8H6ClN/c9-7-3-4-8-2-1-5-10(8)6-7/h1-6H",4.5,0.363636
"InChI=1S/C11H12N2/c1-8(2)13-10-6-4-3-5-9(10)7-11(13)12/h3-7H,1,12H2,2H3",4.5,0.409836
"InChI=1S/C10H8N2O/c1-13-12-9(7-11)6-8-4-2-3-5-10(8)12/h2-6H,1H3",4.5,0.396825
"InChI=1S/C13H10NS/c1-2-6-11(7-3-1)12-10-14-9-5-4-8-13(14)15-12/h1-10H/q+1",5.3,0.376623
"InChI=1S/C10H9NO/c1-11-7-6-8-9(11)4-2-3-5-10(8)12/h2-7H,1H3",4.5,0.403226
"InChI=1S/C8H6BrN/c9-7-5-8-3-1-2-4-10(8)6-7/h1-6H",4.5,0.37037
"InChI=1S/C9H8S/c1-7-6-8-4-2-3-5-9(8)10-7/h2-6H,1H3",4.5,0.357143
"InChI=1S/C12H13N/c1-3-8-13-10(2)9-11-6-4-5-7-12(11)13/h3-7,9H,1,8H2,2H3",4.5,0.459016
"InChI=1S/C12H13N/c1-9(2)12-8-10-6-4-5-7-11(10)13(12)3/h4-8H,1H2,2-3H3",4.5,0.535714
"InChI=1S/C12H13N/c1-9(2)10-4-5-12-11(8-10)6-7-13(12)3/h4-8H,1H2,2-3H3",4.5,0.365079
"InChI=1S/C8H8N2/c9-7-3-5-10-4-1-2-8(10)6-7/h1-6H,9H2",4.5,0.388889
"InChI=1S/C12H13N/c1-8(2)10-4-5-11-6-9(3)13-12(11)7-10/h4-7,13H,1H2,2-3H3",4.5,0.365079
"InChI=1S/C10H9N/c1-2-8-3-4-10-9(7-8)5-6-11-10/h2-7,11H,1H2",4.5,0.355932
"InChI=1S/C8H6BrN/c9-8-5-6-3-1-2-4-7(6)10-8/h1-5,10H",4.5,0.55102
"InChI=1S/C14H10O/c1-2-10-6-5-8-12-11-7-3-4-9-13(11)15-14(10)12/h2-9H,1H2",5.1,0.409639
"InChI=1S/C14H10O/c1-2-6-11(7-3-1)13-10-15-14-9-5-4-8-12(13)14/h1-10H",5.3,0.407895
"InChI=1S/C14H10N2/c15-13-11-8-4-5-9-12(11)16-14(13)10-6-2-1-3-7-10/h1-9,15H",5.3,0.384615
"InChI=1S/C9H9NO/c1-11-10-7-6-8-4-2-3-5-9(8)10/h2-7H,1H3",4.5,0.509434
"InChI=1S/C9H7F2N/c10-9(11)12-6-5-7-3-1-2-4-8(7)12/h1-6,9H",4.5,0.464286
"InChI=1S/C10H6OS/c1-2-4-8-7(3-1)10-9(11-8)5-6-12-10/h1-6H",4.5,0.376623
"InChI=1S/C10H7NO/c1-2-4-9-7(3-1)8-5-6-11-10(8)12-9/h1-6,11H",4.5,0.394737
